wavelength,x,y,z
380.00000000,0.00136800,0.00003900,0.00645000
381.00000000,0.00150205,0.00004283,0.00708322
382.00000000,0.00164233,0.00004691,0.00774549
383.00000000,0.00180238,0.00005159,0.00850115
384.00000000,0.00199576,0.00005718,0.00941454
385.00000000,0.00223600,0.00006400,0.01054999
386.00000000,0.00253538,0.00007234,0.01196580
387.00000000,0.00289260,0.00008221,0.01365587
388.00000000,0.00330083,0.00009351,0.01558805
389.00000000,0.00375324,0.00010614,0.01773015
390.00000000,0.00424300,0.00012000,0.02005001
391.00000000,0.00476239,0.00013498,0.02251136
392.00000000,0.00533005,0.00015149,0.02520288
393.00000000,0.00597871,0.00017021,0.02827972
394.00000000,0.00674112,0.00019182,0.03189704
395.00000000,0.00765000,0.00021700,0.03621000
396.00000000,0.00875137,0.00024691,0.04143771
397.00000000,0.01002888,0.00028124,0.04750372
398.00000000,0.01142170,0.00031852,0.05411988
399.00000000,0.01286901,0.00035727,0.06099803
400.00000000,0.01431000,0.00039600,0.06785001
401.00000000,0.01570443,0.00043371,0.07448632
402.00000000,0.01714744,0.00047302,0.08136156
403.00000000,0.01878122,0.00051788,0.08915364
404.00000000,0.02074801,0.00057222,0.09854048
405.00000000,0.02319000,0.00064000,0.11020000
406.00000000,0.02620736,0.00072456,0.12461330
407.00000000,0.02978248,0.00082550,0.14170170
408.00000000,0.03388092,0.00094116,0.16130350
409.00000000,0.03846824,0.00106988,0.18325680
410.00000000,0.04351000,0.00121000,0.20740000
411.00000000,0.04899560,0.00136209,0.23369210
412.00000000,0.05502260,0.00153075,0.26261140
413.00000000,0.06171880,0.00172037,0.29477460
414.00000000,0.06921200,0.00193532,0.33079850
415.00000000,0.07763000,0.00218000,0.37130000
416.00000000,0.08695811,0.00245480,0.41620910
417.00000000,0.09717672,0.00276400,0.46546420
418.00000000,0.10840630,0.00311780,0.51969480
419.00000000,0.12076720,0.00352640,0.57953030
420.00000000,0.13438000,0.00400000,0.64560000
421.00000000,0.14935820,0.00454624,0.71848380
422.00000000,0.16539570,0.00515932,0.79671330
423.00000000,0.18198310,0.00582928,0.87784590
424.00000000,0.19861100,0.00654616,0.95943900
425.00000000,0.21477000,0.00730000,1.03905010
426.00000000,0.23018680,0.00808651,1.11536730
427.00000000,0.24487970,0.00890872,1.18849710
428.00000000,0.25877730,0.00976768,1.25812330
429.00000000,0.27180790,0.01066443,1.32392960
430.00000000,0.28390000,0.01160000,1.38560000
431.00000000,0.29494380,0.01257317,1.44263520
432.00000000,0.30489650,0.01358272,1.49480350
433.00000000,0.31378730,0.01462968,1.54219030
434.00000000,0.32164540,0.01571509,1.58488070
435.00000000,0.32850000,0.01684000,1.62296000
436.00000000,0.33435130,0.01800736,1.65640480
437.00000000,0.33921010,0.01921448,1.68529590
438.00000000,0.34312130,0.02045392,1.70987450
439.00000000,0.34612960,0.02171824,1.73038210
440.00000000,0.34828000,0.02300000,1.74706000
441.00000000,0.34959990,0.02429461,1.76004460
442.00000000,0.35014740,0.02561024,1.76962330
443.00000000,0.35001300,0.02695857,1.77626370
444.00000000,0.34928700,0.02835125,1.78043340
445.00000000,0.34806000,0.02980000,1.78260000
446.00000000,0.34637330,0.03131083,1.78296820
447.00000000,0.34426240,0.03288368,1.78169980
448.00000000,0.34180880,0.03452112,1.77919820
449.00000000,0.33909410,0.03622571,1.77586710
450.00000000,0.33620000,0.03800000,1.77211000
451.00000000,0.33319770,0.03984667,1.76825890
452.00000000,0.33004110,0.04176800,1.76403900
453.00000000,0.32663570,0.04376600,1.75894380
454.00000000,0.32288680,0.04584267,1.75246630
455.00000000,0.31870000,0.04800000,1.74410000
456.00000000,0.31402510,0.05024368,1.73355950
457.00000000,0.30888400,0.05257304,1.72085810
458.00000000,0.30329040,0.05498056,1.70593690
459.00000000,0.29725790,0.05745872,1.68873720
460.00000000,0.29080000,0.06000000,1.66920000
461.00000000,0.28397010,0.06260197,1.64752870
462.00000000,0.27672140,0.06527752,1.62341270
463.00000000,0.26891780,0.06804208,1.59602230
464.00000000,0.26042270,0.07091109,1.56452800
465.00000000,0.25110000,0.07390000,1.52810000
466.00000000,0.24084750,0.07701600,1.48611140
467.00000000,0.22985120,0.08026640,1.43952150
468.00000000,0.21840720,0.08366680,1.38987990
469.00000000,0.20681150,0.08723280,1.33873620
470.00000000,0.19536000,0.09098000,1.28764000
471.00000000,0.18421360,0.09491755,1.23742230
472.00000000,0.17332730,0.09904584,1.18782430
473.00000000,0.16268810,0.10336740,1.13876110
474.00000000,0.15228330,0.10788460,1.09014800
475.00000000,0.14210000,0.11260000,1.04190000
476.00000000,0.13217860,0.11753200,0.99419760
477.00000000,0.12256960,0.12267440,0.94734730
478.00000000,0.11327520,0.12799280,0.90145310
479.00000000,0.10429790,0.13345280,0.85661930
480.00000000,0.09564000,0.13902000,0.81295010
481.00000000,0.08729955,0.14467640,0.77051730
482.00000000,0.07930804,0.15046930,0.72944480
483.00000000,0.07171776,0.15646190,0.68991360
484.00000000,0.06458099,0.16271770,0.65210490
485.00000000,0.05795001,0.16930000,0.61620000
486.00000000,0.05186211,0.17624310,0.58232860
487.00000000,0.04628152,0.18355810,0.55041620
488.00000000,0.04115088,0.19127350,0.52033760
489.00000000,0.03641283,0.19941800,0.49196730
490.00000000,0.03201000,0.20802000,0.46518000
491.00000000,0.02791720,0.21711990,0.43992460
492.00000000,0.02414440,0.22673450,0.41618360
493.00000000,0.02068700,0.23685710,0.39388220
494.00000000,0.01754040,0.24748120,0.37294590
495.00000000,0.01470000,0.25860000,0.35330000
496.00000000,0.01216179,0.27018490,0.33485780
497.00000000,0.00991996,0.28229390,0.31755210
498.00000000,0.00796724,0.29505050,0.30133750
499.00000000,0.00629635,0.30857800,0.28616860
500.00000000,0.00490000,0.32300000,0.27200000
501.00000000,0.00377717,0.33840210,0.25881710
502.00000000,0.00294532,0.35468580,0.24648380
503.00000000,0.00242488,0.37169860,0.23477180
504.00000000,0.00223629,0.38928750,0.22345330
505.00000000,0.00240000,0.40730000,0.21230000
506.00000000,0.00292552,0.42562990,0.20116920
507.00000000,0.00383656,0.44430960,0.19011960
508.00000000,0.00517484,0.46339440,0.17922540
509.00000000,0.00698208,0.48293950,0.16856080
510.00000000,0.00930000,0.50300000,0.15820000
511.00000000,0.01214949,0.52356930,0.14813830
512.00000000,0.01553588,0.54451200,0.13837580
513.00000000,0.01947752,0.56569000,0.12899420
514.00000000,0.02399277,0.58696530,0.12007510
515.00000000,0.02910000,0.60820000,0.11170000
516.00000000,0.03481485,0.62934560,0.10390480
517.00000000,0.04112016,0.65030680,0.09666748
518.00000000,0.04798504,0.67087520,0.08998272
519.00000000,0.05537861,0.69084240,0.08384531
520.00000000,0.06327000,0.71000000,0.07824999
521.00000000,0.07163501,0.72818520,0.07320899
522.00000000,0.08046224,0.74546360,0.06867816
523.00000000,0.08973996,0.76196940,0.06456784
524.00000000,0.09945645,0.77783680,0.06078835
525.00000000,0.10960000,0.79320000,0.05725001
526.00000000,0.12016740,0.80811040,0.05390435
527.00000000,0.13111450,0.82249620,0.05074664
528.00000000,0.14236790,0.83630680,0.04775276
529.00000000,0.15385420,0.84949160,0.04489859
530.00000000,0.16550000,0.86200000,0.04216000
531.00000000,0.17725710,0.87381080,0.03950728
532.00000000,0.18914000,0.88496240,0.03693564
533.00000000,0.20116940,0.89549360,0.03445836
534.00000000,0.21336580,0.90544320,0.03208872
535.00000000,0.22574990,0.91485010,0.02984000
536.00000000,0.23832090,0.92373480,0.02771181
537.00000000,0.25106680,0.93209240,0.02569444
538.00000000,0.26399220,0.93992260,0.02378716
539.00000000,0.27710170,0.94722520,0.02198925
540.00000000,0.29040000,0.95400000,0.02030000
541.00000000,0.30389120,0.96025610,0.01871805
542.00000000,0.31757260,0.96600740,0.01724036
543.00000000,0.33143840,0.97126060,0.01586364
544.00000000,0.34548280,0.97602250,0.01458461
545.00000000,0.35970000,0.98030000,0.01340000
546.00000000,0.37408390,0.98409240,0.01230723
547.00000000,0.38863960,0.98741820,0.01130188
548.00000000,0.40337840,0.99031280,0.01037792
549.00000000,0.41831150,0.99281160,0.00952931
550.00000000,0.43344990,0.99495010,0.00875000
551.00000000,0.44879530,0.99671080,0.00803520
552.00000000,0.46433600,0.99809830,0.00738160
553.00000000,0.48006400,0.99911200,0.00678540
554.00000000,0.49597130,0.99974820,0.00624280
555.00000000,0.51205010,1.00000000,0.00575000
556.00000000,0.52829590,0.99985670,0.00530360
557.00000000,0.54469160,0.99930460,0.00489980
558.00000000,0.56120940,0.99832550,0.00453420
559.00000000,0.57782150,0.99689870,0.00420240
560.00000000,0.59450000,0.99500000,0.00390000
561.00000000,0.61122090,0.99260050,0.00362320
562.00000000,0.62797580,0.98974260,0.00337060
563.00000000,0.64476020,0.98644440,0.00314140
564.00000000,0.66156970,0.98272410,0.00293480
565.00000000,0.67840000,0.97860000,0.00275000
566.00000000,0.69523920,0.97408370,0.00258520
567.00000000,0.71205860,0.96917120,0.00243860
568.00000000,0.72882840,0.96385680,0.00230940
569.00000000,0.74551880,0.95813490,0.00219680
570.00000000,0.76210000,0.95200000,0.00210000
571.00000000,0.77854320,0.94545040,0.00201773
572.00000000,0.79482560,0.93849920,0.00194820
573.00000000,0.81092640,0.93116280,0.00188980
574.00000000,0.82682480,0.92345760,0.00184093
575.00000000,0.84250000,0.91540000,0.00180000
576.00000000,0.85793250,0.90700640,0.00176627
577.00000000,0.87308160,0.89827720,0.00173780
578.00000000,0.88789440,0.88920480,0.00171120
579.00000000,0.90231810,0.87978160,0.00168307
580.00000000,0.91630000,0.87000000,0.00165000
581.00000000,0.92979950,0.85986130,0.00161013
582.00000000,0.94279840,0.84939200,0.00156440
583.00000000,0.95527760,0.83862200,0.00151360
584.00000000,0.96721790,0.82758130,0.00145853
585.00000000,0.97860000,0.81630000,0.00140000
586.00000000,0.98938560,0.80479470,0.00133667
587.00000000,0.99954880,0.79308200,0.00127000
588.00000000,1.00908920,0.78119200,0.00120500
589.00000000,1.01800640,0.76915470,0.00114667
590.00000000,1.02630000,0.75700000,0.00110000
591.00000000,1.03398270,0.74475410,0.00106880
592.00000000,1.04098600,0.73242240,0.00104940
593.00000000,1.04718800,0.72000360,0.00103560
594.00000000,1.05246670,0.70749650,0.00102120
595.00000000,1.05670000,0.69490000,0.00100000
596.00000000,1.05979440,0.68221920,0.00096864
597.00000000,1.06179920,0.66947160,0.00092992
598.00000000,1.06280680,0.65667440,0.00088688
599.00000000,1.06290960,0.64384480,0.00084256
600.00000000,1.06220000,0.63100000,0.00080000
601.00000000,1.06073520,0.61815550,0.00076096
602.00000000,1.05844360,0.60531440,0.00072368
603.00000000,1.05522440,0.59247560,0.00068592
604.00000000,1.05097680,0.57963790,0.00064544
605.00000000,1.04560000,0.56680000,0.00060000
606.00000000,1.03903690,0.55396110,0.00054787
607.00000000,1.03136080,0.54113720,0.00049160
608.00000000,1.02266620,0.52835280,0.00043540
609.00000000,1.01304770,0.51563230,0.00038347
610.00000000,1.00260000,0.50300000,0.00034000
611.00000000,0.99136750,0.49046880,0.00030725
612.00000000,0.97933140,0.47803040,0.00028316
613.00000000,0.96649160,0.46567760,0.00026544
614.00000000,0.95284790,0.45340320,0.00025181
615.00000000,0.93840000,0.44120000,0.00024000
616.00000000,0.92319400,0.42908000,0.00022955
617.00000000,0.90724400,0.41703600,0.00022064
618.00000000,0.89050200,0.40503200,0.00021196
619.00000000,0.87292000,0.39303200,0.00020219
620.00000000,0.85444990,0.38100000,0.00019000
621.00000000,0.83508400,0.36891840,0.00017421
622.00000000,0.81494600,0.35682720,0.00015564
623.00000000,0.79418600,0.34477680,0.00013596
624.00000000,0.77295400,0.33281760,0.00011685
625.00000000,0.75140000,0.32100000,0.00010000
626.00000000,0.72958360,0.30933810,0.00008613
627.00000000,0.70758880,0.29785040,0.00007460
628.00000000,0.68560220,0.28659360,0.00006500
629.00000000,0.66381040,0.27562450,0.00005693
630.00000000,0.64240000,0.26500000,0.00005000
631.00000000,0.62151490,0.25476320,0.00004416
632.00000000,0.60111380,0.24488960,0.00003948
633.00000000,0.58110520,0.23533440,0.00003572
634.00000000,0.56139770,0.22605280,0.00003264
635.00000000,0.54190000,0.21700000,0.00003000
636.00000000,0.52259950,0.20816160,0.00002765
637.00000000,0.50354640,0.19954880,0.00002556
638.00000000,0.48474360,0.19115520,0.00002364
639.00000000,0.46619390,0.18297440,0.00002181
640.00000000,0.44790000,0.17500000,0.00002000
641.00000000,0.42986130,0.16722350,0.00001813
642.00000000,0.41209800,0.15964640,0.00001620
643.00000000,0.39464400,0.15227760,0.00001420
644.00000000,0.37753330,0.14512590,0.00001213
645.00000000,0.36080000,0.13820000,0.00001000
646.00000000,0.34445630,0.13150030,0.00000773
647.00000000,0.32851680,0.12502480,0.00000540
648.00000000,0.31301920,0.11877920,0.00000320
649.00000000,0.29800110,0.11276910,0.00000133
650.00000000,0.28350000,0.10700000,0.00000000
651.00000000,0.26954480,0.10147620,0.00000000
652.00000000,0.25611840,0.09618864,0.00000000
653.00000000,0.24318960,0.09112296,0.00000000
654.00000000,0.23072720,0.08626485,0.00000000
655.00000000,0.21870000,0.08160000,0.00000000
656.00000000,0.20709710,0.07712064,0.00000000
657.00000000,0.19592320,0.07282552,0.00000000
658.00000000,0.18517080,0.06871008,0.00000000
659.00000000,0.17483230,0.06476976,0.00000000
660.00000000,0.16490000,0.06100000,0.00000000
661.00000000,0.15536670,0.05739621,0.00000000
662.00000000,0.14623000,0.05395504,0.00000000
663.00000000,0.13749000,0.05067376,0.00000000
664.00000000,0.12914670,0.04754965,0.00000000
665.00000000,0.12120000,0.04458000,0.00000000
666.00000000,0.11363970,0.04175872,0.00000000
667.00000000,0.10646500,0.03908496,0.00000000
668.00000000,0.09969044,0.03656384,0.00000000
669.00000000,0.09333061,0.03420048,0.00000000
670.00000000,0.08740000,0.03200000,0.00000000
671.00000000,0.08190096,0.02996261,0.00000000
672.00000000,0.07680428,0.02807664,0.00000000
673.00000000,0.07207712,0.02632936,0.00000000
674.00000000,0.06768664,0.02470805,0.00000000
675.00000000,0.06360000,0.02320000,0.00000000
676.00000000,0.05980685,0.02180077,0.00000000
677.00000000,0.05628216,0.02050112,0.00000000
678.00000000,0.05297104,0.01928108,0.00000000
679.00000000,0.04981861,0.01812069,0.00000000
680.00000000,0.04677000,0.01700000,0.00000000
681.00000000,0.04378405,0.01590379,0.00000000
682.00000000,0.04087536,0.01483718,0.00000000
683.00000000,0.03807264,0.01381068,0.00000000
684.00000000,0.03540461,0.01283478,0.00000000
685.00000000,0.03290000,0.01192000,0.00000000
686.00000000,0.03056419,0.01106831,0.00000000
687.00000000,0.02838056,0.01027339,0.00000000
688.00000000,0.02634484,0.00953331,0.00000000
689.00000000,0.02445275,0.00884616,0.00000000
690.00000000,0.02270000,0.00821000,0.00000000
691.00000000,0.02108429,0.00762378,0.00000000
692.00000000,0.01959988,0.00708542,0.00000000
693.00000000,0.01823732,0.00659148,0.00000000
694.00000000,0.01698717,0.00613848,0.00000000
695.00000000,0.01584000,0.00572300,0.00000000
696.00000000,0.01479064,0.00534306,0.00000000
697.00000000,0.01383132,0.00499580,0.00000000
698.00000000,0.01294868,0.00467640,0.00000000
699.00000000,0.01212920,0.00438007,0.00000000
700.00000000,0.01135916,0.00410200,0.00000000
701.00000000,0.01062935,0.00383845,0.00000000
702.00000000,0.00993885,0.00358910,0.00000000
703.00000000,0.00928842,0.00335422,0.00000000
704.00000000,0.00867885,0.00313409,0.00000000
705.00000000,0.00811092,0.00292900,0.00000000
706.00000000,0.00758239,0.00273814,0.00000000
707.00000000,0.00708875,0.00255988,0.00000000
708.00000000,0.00662731,0.00239324,0.00000000
709.00000000,0.00619541,0.00223727,0.00000000
710.00000000,0.00579035,0.00209100,0.00000000
711.00000000,0.00540983,0.00195359,0.00000000
712.00000000,0.00505258,0.00182458,0.00000000
713.00000000,0.00471751,0.00170358,0.00000000
714.00000000,0.00440351,0.00159019,0.00000000
715.00000000,0.00410946,0.00148400,0.00000000
716.00000000,0.00383391,0.00138450,0.00000000
717.00000000,0.00357575,0.00129127,0.00000000
718.00000000,0.00333434,0.00120409,0.00000000
719.00000000,0.00310908,0.00112274,0.00000000
720.00000000,0.00289933,0.00104700,0.00000000
721.00000000,0.00270435,0.00097659,0.00000000
722.00000000,0.00252302,0.00091111,0.00000000
723.00000000,0.00235417,0.00085013,0.00000000
724.00000000,0.00219662,0.00079324,0.00000000
725.00000000,0.00204919,0.00074000,0.00000000
726.00000000,0.00191096,0.00069008,0.00000000
727.00000000,0.00178144,0.00064331,0.00000000
728.00000000,0.00166011,0.00059950,0.00000000
729.00000000,0.00154646,0.00055845,0.00000000
730.00000000,0.00143997,0.00052000,0.00000000
731.00000000,0.00134004,0.00048391,0.00000000
732.00000000,0.00124628,0.00045005,0.00000000
733.00000000,0.00115847,0.00041835,0.00000000
734.00000000,0.00107643,0.00038872,0.00000000
735.00000000,0.00099995,0.00036110,0.00000000
736.00000000,0.00092874,0.00033538,0.00000000
737.00000000,0.00086243,0.00031144,0.00000000
738.00000000,0.00080075,0.00028917,0.00000000
739.00000000,0.00074340,0.00026845,0.00000000
740.00000000,0.00069008,0.00024920,0.00000000
741.00000000,0.00064052,0.00023130,0.00000000
742.00000000,0.00059450,0.00021469,0.00000000
743.00000000,0.00055186,0.00019929,0.00000000
744.00000000,0.00051243,0.00018505,0.00000000
745.00000000,0.00047602,0.00017190,0.00000000
746.00000000,0.00044245,0.00015978,0.00000000
747.00000000,0.00041151,0.00014860,0.00000000
748.00000000,0.00038298,0.00013830,0.00000000
749.00000000,0.00035665,0.00012879,0.00000000
750.00000000,0.00033230,0.00012000,0.00000000
751.00000000,0.00030976,0.00011186,0.00000000
752.00000000,0.00028889,0.00010432,0.00000000
753.00000000,0.00026954,0.00009734,0.00000000
754.00000000,0.00025157,0.00009085,0.00000000
755.00000000,0.00023483,0.00008480,0.00000000
756.00000000,0.00021917,0.00007915,0.00000000
757.00000000,0.00020453,0.00007386,0.00000000
758.00000000,0.00019084,0.00006892,0.00000000
759.00000000,0.00017807,0.00006430,0.00000000
760.00000000,0.00016615,0.00006000,0.00000000
761.00000000,0.00015502,0.00005598,0.00000000
762.00000000,0.00014462,0.00005223,0.00000000
763.00000000,0.00013491,0.00004872,0.00000000
764.00000000,0.00012585,0.00004545,0.00000000
765.00000000,0.00011741,0.00004240,0.00000000
766.00000000,0.00010955,0.00003956,0.00000000
767.00000000,0.00010222,0.00003692,0.00000000
768.00000000,0.00009539,0.00003445,0.00000000
769.00000000,0.00008902,0.00003215,0.00000000
770.00000000,0.00008308,0.00003000,0.00000000
771.00000000,0.00007751,0.00002799,0.00000000
772.00000000,0.00007231,0.00002611,0.00000000
773.00000000,0.00006746,0.00002436,0.00000000
774.00000000,0.00006293,0.00002272,0.00000000
775.00000000,0.00005871,0.00002120,0.00000000
776.00000000,0.00005477,0.00001978,0.00000000
777.00000000,0.00005110,0.00001845,0.00000000
778.00000000,0.00004768,0.00001722,0.00000000
779.00000000,0.00004449,0.00001606,0.00000000
780.00000000,0.00004151,0.00001499,0.00000000
